Label;Split;Style;Tags
abandons;['abandons'];DES;DESV
abases;['abases'];DES;DESV
abates;['abates'];DES;DESV
abbreviates;['abbreviates'];DES;DESV
abdicates;['abdicates'];DES;DESV
abducts;['abducts'];DES;DESV
abets;['abets'];DES;DESV
abhors;['abhors'];DES;DESV
abides;['abides'];DES;DESV
abjures;['abjures'];DES;DESV
abolishes;['abolishes'];DES;DESV
abominates;['abominates'];DES;DESV
aborts;['aborts'];DES;DESV
abounds;['abounds'];DES;DESV
abrades;['abrades'];DES;DESV
abridges;['abridges'];DES;DESV
abrogates;['abrogates'];DES;DESV
abseils;['abseils'];DES;DESV
absents;['absents'];DES;DESV
absolves;['absolves'];DES;DESV
absorbs;['absorbs'];DES;DESV
abstains;['abstains'];DES;DESV
abstracts;['abstracts'];DES;DESV
abuses;['abuses'];DES;DESV
abuts;['abuts'];DES;DESV
accedes;['accedes'];DES;DESV
accelerates;['accelerates'];DES;DESV
accents;['accents'];DES;DESV
accentuates;['accentuates'];DES;DESV
acclaims;['acclaims'];DES;DESV
accommodates;['accommodates'];DES;DESV
accompanies;['accompanies'];DES;DESV
accomplishes;['accomplishes'];DES;DESV
accords;['accords'];DES;DESV
accosts;['accosts'];DES;DESV
accounts;['accounts'];DES;DESV
accredits;['accredits'];DES;DESV
accrues;['accrues'];DES;DESV
accumulates;['accumulates'];DES;DESV
accuses;['accuses'];DES;DESV
accustoms;['accustoms'];DES;DESV
aches;['aches'];DES;DESV
achieves;['achieves'];DES;DESV
acidifies;['acidifies'];DES;DESV
acknowledges;['acknowledges'];DES;DESV
acquiesces;['acquiesces'];DES;DESV
acquires;['acquires'];DES;DESV
acquits;['acquits'];DES;DESV
activates;['activates'];DES;DESV
acts;['acts'];DES;DESV
actuates;['actuates'];DES;DESV
ad-libs;['ad-libs'];DES;DESV
adapts;['adapts'];DES;DESV
addles;['addles'];DES;DESV
addresses;['addresses'];DES;DESV
adds;['adds'];DES;DESV
adheres;['adheres'];DES;DESV
adjoins;['adjoins'];DES;DESV
adjourns;['adjourns'];DES;DESV
adjudges;['adjudges'];DES;DESV
adjures;['adjures'];DES;DESV
adjusts;['adjusts'];DES;DESV
administers;['administers'];DES;DESV
administrates;['administrates'];DES;DESV
